Crop groups,Crops,Selections,Hybrids,Mutants,Others,Total
Vegetable Crops,Potato,2,48,NA,NA,50
Vegetable Crops,Cassava,4,7,NA,2,13
Vegetable Crops,Sweet potato,23,7,NA,NA,30
Vegetable Crops,Greater yam,5,1,NA,NA,6
Vegetable Crops,White yam,3,NA,NA,NA,3
Vegetable Crops,Lesser yam,3,NA,NA,NA,3
Vegetable Crops,Elephant foot yam,6,1,NA,NA,7
Vegetable Crops,Colocasia (Taro),12,1,NA,NA,13
Vegetable Crops,Colocasia (Bunda),3,NA,NA,NA,3
Vegetable Crops,Chinese potato,1,NA,NA,NA,1
Vegetable Crops,Xanthosoma,1,NA,NA,NA,1
Vegetable Crops,Coleus,1,NA,NA,NA,1
Vegetable Crops,Yam bean,1,NA,NA,NA,1
Vegetable Crops,Tomato,30,5,1,18,54
Vegetable Crops,Brinjal,38,10,NA,11,59
Vegetable Crops,Chillies,28,1,1,7,37
Vegetable Crops,Sweet pepper,6,NA,NA,3,9
Vegetable Crops,Cauliflower,14,2,NA,NA,16
Vegetable Crops,Cabbage,2,NA,NA,6,8
Vegetable Crops,Broccoli,3,NA,NA,NA,3
Vegetable Crops,Knol-khol,1,NA,NA,2,3
Vegetable Crops,Bitter gourd,9,1,1,1,12
Vegetable Crops,Pumpkin,9,NA,NA,1,10
Vegetable Crops,Squash,1,NA,NA,2,3
Vegetable Crops,Bottle gourd,12,5,NA,1,18
Vegetable Crops,Musk melon,13,2,NA,5,20
Vegetable Crops,Water melon,6,4,NA,3,13
Vegetable Crops,Ash gourd,5,NA,NA,NA,5
Vegetable Crops,Cucumber,8,NA,NA,2,10
Vegetable Crops,Long melon,2,NA,NA,NA,2
Vegetable Crops,Round melon,1,NA,NA,NA,1
Vegetable Crops,Pointed gourd,5,NA,NA,NA,5
Vegetable Crops,Ivy gourd,5,NA,NA,NA,5
Vegetable Crops,Ridge gourd,7,NA,1,NA,8
Vegetable Crops,Sponge gourd,8,NA,NA,NA,8
Vegetable Crops,Round gourd,2,NA,NA,1,3
Vegetable Crops,Snake gourd,6,NA,NA,NA,6
Vegetable Crops,Snap melon,3,NA,NA,NA,3
Vegetable Crops,Onion,47,2,NA,2,51
Vegetable Crops,Garlic,23,NA,--,NA,23
Vegetable Crops,Carrot,7,NA,NA,6,13
Vegetable Crops,French bean,6,NA,1,10,17
Vegetable Crops,Cowpea (veg.),7,NA,NA,5,12
Vegetable Crops,Dolichos bean,4,NA,NA,3,7
Vegetable Crops,Garden pea,NA,NA,NA,22,22
Vegetable Crops,Cluster bean,2,NA,NA,NA,2
Vegetable Crops,Sword bean,1,NA,NA,NA,1
Vegetable Crops,Kachri (melon),2,NA,NA,NA,2
Vegetable Crops,Kakri (Cucumber ),2,NA,NA,NA,2
Vegetable Crops,Spine gourd,1,NA,NA,NA,1
Vegetable Crops,Teasel gourd,1,NA,NA,NA,1
Vegetable Crops,Sub-Total,392,97,5,113,607
Ornamental Crops,Tuberose,NA,2,NA,4,6
Ornamental Crops,Bougainvillea,2,NA,1,3,6
Ornamental Crops,China aster,NA,NA,NA,4,4
Ornamental Crops,Chrysanthemum,6,NA,3,11,20
Ornamental Crops,Gladiolus,NA,4,1,13,18
Ornamental Crops,Rose,1,NA,1,2,4
Ornamental Crops,Carnation,1,NA,2,NA,3
Ornamental Crops,Jasminum,3,NA,NA,NA,3
Ornamental Crops,Crossandra,NA,2,NA,NA,2
Ornamental Crops,Gerbera,1,NA,NA,NA,1
Ornamental Crops,Dianthus,NA,1,NA,NA,1
Ornamental Crops,Sub-Total,14,9,8,37,68
Plantation and Spice Crops,Coconut,21,16,NA,NA,37
Plantation and Spice Crops,Arecanut,1,2,NA,7,10
Plantation and Spice Crops,Cocoa,9,8,NA,NA,17
Plantation and Spice Crops,Cashew,25,12,NA,NA,37
Plantation and Spice Crops,Black pepper,12,4,NA,NA,16
Plantation and Spice Crops,Cardamom,12,1,NA,NA,13
Plantation and Spice Crops,Ginger,6,NA,1,NA,7
Plantation and Spice Crops,Turmeric,21,NA,2,NA,23
Plantation and Spice Crops,Cinnamon,6,NA,NA,NA,6
Plantation and Spice Crops,Nutmeg,3,NA,NA,NA,3
Plantation and Spice Crops,Coriander,23,NA,1,NA,24
Plantation and Spice Crops,Cumin,8,NA,1,NA,9
Plantation and Spice Crops,Fennel,7,NA,NA,3,10
Plantation and Spice Crops,Fenugreek,14,NA,2,1,17
Plantation and Spice Crops,Ajowain,2,NA,NA,NA,2
Plantation and Spice Crops,Dill,2,NA,NA,NA,2
Plantation and Spice Crops,Nigella,1,NA,NA,NA,1
Plantation and Spice Crops,Anise,1,NA,NA,NA,1
Plantation and Spice Crops,Celery,1,NA,NA,NA,1
Plantation and Spice Crops,Sub-Total,175,43,7,11,236
Fruit Crops,Ber,2,1,NA,NA,3
Fruit Crops,Aonla,1,NA,NA,NA,1
Fruit Crops,Khejri,1,NA,NA,NA,1
Fruit Crops,Banana,1,3,NA,NA,4
Fruit Crops,Grapes,5,13,NA,3,21
Fruit Crops,Pomegranate,6,4,NA,NA,10
Fruit Crops,Litchi,4,2,NA,NA,6
Fruit Crops,Mango,4,23,NA,NA,27
Fruit Crops,Guava,3,4,NA,1,8
Fruit Crops,Papaya,15,4,NA,NA,19
Fruit Crops,Apple,NA,16,1,NA,17
Fruit Crops,Apricot,NA,NA,3,NA,3
Fruit Crops,Pear,NA,NA,NA,3,3
Fruit Crops,Peach,NA,NA,NA,1,1
Fruit Crops,Plum,NA,NA,NA,2,2
Fruit Crops,Almond,4,NA,NA,NA,4
Fruit Crops,Walnut,2,NA,NA,NA,2
Fruit Crops,Sweet Orange,2,NA,NA,NA,2
Fruit Crops,Sub-Total,50,70,4,10,134
Medicinal and Aromatic Plants,Betel vine,3,NA,NA,2,5
Medicinal and Aromatic Plants,Opium poppy,6,NA,NA,NA,6
Medicinal and Aromatic Plants,Asalio,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Safed musli,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Periwinkle,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Senna,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Yam,2,NA,NA,NA,2
Medicinal and Aromatic Plants,Foxglove,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Yellow horned poppy,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Liquorice,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Sarpagandha,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Long pepper,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Isabgol,4,NA,1,1,6
Medicinal and Aromatic Plants,Solanum laciniatum,NA,NA,NA,1,1
Medicinal and Aromatic Plants,S. viarum,NA,NA,1,1,2
Medicinal and Aromatic Plants,Ashwagandha,1,NA,NA,1,2
Medicinal and Aromatic Plants,Lemon grass,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Palmarosa,NA,NA,NA,2,2
Medicinal and Aromatic Plants,Jasminum grandiflorum,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Spear mint,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Mushakbala,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Vetiver,NA,NA,NA,1,1
Medicinal and Aromatic Plants,Mucuna,1,NA,NA,NA,1
Medicinal and Aromatic Plants,Sub-Total,24,NA,2,15,41
Grad Total,Grand Total,655,219,26,186,1086
